"","X","FirstName","LastName","FullName","Team","Year","Position","Round","SuperCoachScore","Rank","Injured","Number","Marks","Handballs","Disposals","Goals","Behinds","Hitouts","Tackles","Rebounds50s","Inside50s","Clearances","Clangers","FreesFor","FreesAgainst","BrownlowVotes","ContestedPossessions","UncontestedPossessions","ContestedMarks","MarksInside50","OnePercenters","Bounces","GoalAssists","PercentagePlayed","PointDifference","BrownlowBinary","Pairs"
"4499",4499,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",17,106,7,0,26,1,18,35,1,1,0,4,1,3,14,5,1,1,0,19,13,0,1,2,0,1,90,-5,0,136
"4500",4500,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",6,151,1,0,26,4,10,29,3,0,1,9,3,6,3,4,0,1,3,16,12,1,2,2,0,0,89,3,1,52
"4501",4501,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",19,112,4,0,26,4,20,28,1,1,3,9,1,2,7,2,2,2,0,15,15,1,1,2,0,0,95,90,0,161
"4502",4502,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",9,120,3,0,26,1,17,30,0,1,0,7,2,2,6,2,1,1,2,17,16,0,0,2,0,0,82,14,1,73
"4503",4503,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",16,113,7,0,26,5,12,27,1,0,0,3,2,4,7,2,2,2,0,10,14,0,0,0,0,2,94,38,0,128
"4504",4504,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",12,59,32,0,26,3,7,13,0,1,1,7,1,2,3,3,1,2,0,6,7,0,0,1,0,0,90,-42,0,107
"4505",4505,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",11,104,9,0,26,2,15,26,2,0,0,10,3,2,4,4,0,0,0,17,8,0,1,2,0,1,92,38,0,95
"4506",4506,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",20,127,3,0,26,4,20,39,0,1,2,5,0,6,11,6,2,2,3,22,15,1,0,1,0,2,89,67,1,164
"4507",4507,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",1,161,1,0,26,8,27,40,1,1,0,3,2,4,6,3,2,1,3,20,21,3,1,4,0,1,88,80,1,5
"4508",4508,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",13,102,7,0,26,2,7,23,0,0,1,17,2,7,7,4,3,0,3,14,8,0,0,3,0,0,91,55,1,113
"4509",4509,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",18,112,7,0,26,4,14,24,2,1,4,8,1,1,6,4,0,1,0,9,14,0,1,1,0,0,89,6,0,146
"4510",4510,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",15,161,1,0,26,5,15,34,3,2,0,10,1,8,4,5,2,2,2,16,16,2,1,5,0,0,89,-4,1,124
"4511",4511,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",2,116,3,0,26,6,13,29,1,1,1,2,0,3,5,1,1,1,3,13,14,1,1,2,0,1,88,60,1,18
"4512",4512,"Luke","Parker","Parker, Luke","Sydney",2016,"Inside midfielder",7,89,14,0,26,6,18,29,0,1,1,3,1,3,7,5,0,2,0,15,17,0,2,1,0,0,86,81,0,58
"4513",4513,"Luke","Russell","Russell, Luke","Gold Coast",2016,"Defensive midfielder",10,43,41,0,8,6,4,12,0,2,0,1,2,2,0,1,0,1,0,1,11,0,1,0,0,0,78,-77,0,90
"4514",4514,"Luke","Russell","Russell, Luke","Gold Coast",2016,"Defensive midfielder",9,50,40,0,8,1,13,18,0,0,0,3,2,1,1,1,0,0,0,5,13,0,0,0,0,0,85,-75,0,75
"4515",4515,"Luke","Russell","Russell, Luke","Gold Coast",2016,"Defensive midfielder",5,15,44,0,8,0,2,3,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,58,-38,0,39
"4516",4516,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",8,114,4,1,13,2,21,31,0,1,0,6,0,4,9,3,3,1,0,13,17,0,0,0,2,3,79,103,0,72
"4517",4517,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",16,131,1,1,13,3,14,29,0,0,1,5,3,3,9,5,2,2,3,16,13,0,0,1,0,3,81,32,1,134
"4518",4518,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",4,151,1,1,13,3,10,22,2,0,0,9,0,4,8,1,4,1,0,11,10,0,0,3,0,0,77,68,0,28
"4519",4519,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",2,96,9,1,13,4,15,25,0,0,0,7,2,2,5,4,1,2,0,13,13,0,0,1,1,0,79,-46,0,17
"4520",4520,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",23,116,3,1,13,3,18,31,0,1,2,8,3,6,4,4,0,2,0,12,20,0,0,0,1,1,79,29,0,190
"4521",4521,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",3,119,1,1,13,3,15,31,1,1,0,6,2,4,7,4,1,1,0,10,21,0,1,3,0,2,77,33,0,24
"4522",4522,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",10,106,5,1,13,1,14,26,1,0,0,4,3,2,7,2,2,0,2,15,10,0,0,0,2,0,74,77,1,90
"4523",4523,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",6,114,6,1,13,4,13,25,0,1,0,3,1,2,6,1,6,0,1,11,14,0,1,1,0,2,68,62,1,54
"4524",4524,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",22,86,15,1,13,0,12,21,1,1,0,7,1,2,7,1,4,0,0,15,6,0,0,1,0,0,74,25,0,181
"4525",4525,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",21,179,1,1,13,3,20,38,2,0,0,6,5,6,13,5,6,1,3,23,17,0,0,1,2,2,85,1,1,175
"4526",4526,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",20,112,4,1,13,2,15,23,0,0,0,10,2,3,6,3,1,3,1,12,11,1,0,0,3,3,79,46,1,171
"4527",4527,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",11,77,16,1,13,2,7,21,0,2,0,9,1,4,6,5,1,2,0,8,12,0,0,0,0,1,87,-8,0,98
"4528",4528,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",18,130,2,1,13,0,9,24,0,0,0,10,3,4,8,3,6,2,0,17,9,0,0,0,0,0,84,6,0,148
"4529",4529,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",19,90,13,1,13,5,18,28,0,0,1,6,4,4,1,2,0,1,0,2,26,0,0,1,0,1,80,-19,0,157
"4530",4530,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",1,84,18,1,13,3,13,30,0,0,0,4,0,3,7,8,2,5,0,11,19,0,0,1,1,1,85,64,0,8
"4531",4531,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",13,95,12,1,13,4,11,25,1,0,0,7,1,8,4,4,2,2,0,7,19,0,1,0,1,2,79,49,0,110
"4532",4532,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",12,87,15,1,13,1,13,22,0,0,0,5,2,2,5,2,2,1,0,14,10,0,0,1,3,1,83,-29,0,104
"4533",4533,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",7,61,28,1,13,1,13,19,0,0,1,6,2,2,3,6,2,3,0,7,13,0,0,0,0,0,77,-44,0,57
"4534",4534,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",17,94,13,1,13,5,14,23,1,1,0,8,3,4,4,4,1,2,0,9,13,0,0,1,1,0,77,7,0,142
"4535",4535,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",15,112,5,1,13,4,16,27,1,0,1,4,1,5,11,2,3,0,0,14,13,1,0,0,1,1,65,78,0,121
"4536",4536,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",5,85,12,1,13,1,11,24,1,0,0,6,3,4,7,3,2,1,0,13,11,0,0,0,0,0,73,-39,0,38
"4537",4537,"Luke","Shuey","Shuey, Luke","West Coast",2016,"Inside midfielder",9,84,12,1,13,1,10,23,1,0,0,7,2,6,6,7,3,2,0,13,11,0,0,1,0,0,83,8,0,76
"4538",4538,"Lynden","Dunn","Dunn, Lynden","Melbourne",2016,"Key defender",3,83,11,0,14,1,3,13,1,0,0,3,5,2,0,1,2,1,0,6,5,0,0,9,0,0,86,-5,0,25
"4539",4539,"Lynden","Dunn","Dunn, Lynden","Melbourne",2016,"Key defender",6,46,40,0,14,4,2,11,0,0,0,3,6,2,0,4,3,2,0,6,5,0,1,0,1,1,87,-39,0,47
"4540",4540,"Lynden","Dunn","Dunn, Lynden","Melbourne",2016,"Key defender",5,79,21,0,14,6,7,18,0,0,1,2,6,1,1,4,1,2,0,4,9,0,0,11,0,0,91,33,0,44
"4541",4541,"Lynden","Dunn","Dunn, Lynden","Melbourne",2016,"Key defender",4,69,30,0,14,4,1,13,0,0,0,2,6,1,0,2,0,1,0,3,9,0,0,6,1,0,92,35,0,35
"4542",4542,"Mabior","Chol","Chol, Mabior","Richmond",2016,"Defensive midfielder",23,10,44,0,41,1,0,2,0,1,0,1,1,1,0,1,0,1,0,1,2,0,0,2,0,0,75,-113,0,193
"4543",4543,"Mackenzie","Willis","Willis, Mackenzie","Gold Coast",2016,"Defensive midfielder",11,53,36,0,34,2,7,11,0,0,0,2,2,1,0,2,1,2,0,7,5,0,0,5,0,0,64,-38,0,95
"4544",4544,"Mackenzie","Willis","Willis, Mackenzie","Gold Coast",2016,"Defensive midfielder",10,33,44,0,34,3,3,10,0,0,0,3,1,1,0,3,0,1,0,5,5,0,0,1,0,0,66,-77,0,90
"4545",4545,"Mackenzie","Willis","Willis, Mackenzie","Gold Coast",2016,"Defensive midfielder",6,32,43,0,34,1,7,11,0,0,0,2,1,0,1,3,1,2,0,2,10,0,0,3,0,0,77,-120,0,50
"4546",4546,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",21,78,18,0,38,7,5,11,0,3,5,4,0,1,0,2,0,2,0,8,3,6,3,3,1,1,86,-39,0,174
"4547",4547,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",11,87,14,0,38,3,2,10,1,1,19,5,1,1,4,0,1,0,0,8,2,2,1,3,0,1,74,70,0,91
"4548",4548,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",20,72,23,0,38,3,5,10,1,0,6,1,1,2,0,2,0,1,0,6,4,2,1,2,0,0,90,-14,0,167
"4549",4549,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",23,50,37,0,38,7,2,10,1,1,8,1,1,2,1,2,1,1,0,5,4,3,2,1,0,0,75,-37,0,194
"4550",4550,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",22,38,40,0,38,1,6,9,0,2,3,0,1,2,0,1,1,0,0,7,2,1,1,4,1,0,86,-9,0,182
"4551",4551,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",13,92,14,0,38,1,3,8,0,1,12,5,0,1,2,2,1,0,0,6,2,1,1,4,0,1,70,-9,0,109
"4552",4552,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",8,97,9,0,38,5,7,14,2,2,4,5,0,3,0,1,0,1,0,8,6,3,3,1,3,0,74,14,0,65
"4553",4553,"Majak","Daw","Daw, Majak","North Melbourne",2016,"Key forward",18,43,39,0,38,3,2,7,0,1,11,5,0,0,0,5,1,2,0,5,3,2,0,1,0,0,65,40,0,145
"4554",4554,"Malcolm","Karpany","Karpany, Malcolm","West Coast",2016,"Defensive midfielder",19,34,43,0,39,1,5,8,0,0,0,4,1,1,0,2,0,0,0,3,4,0,0,2,0,0,65,-19,0,157
"4555",4555,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",4,36,43,0,3,2,5,10,0,0,0,1,0,1,0,1,0,0,0,3,7,0,0,0,0,0,53,-36,0,32
"4556",4556,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",9,90,14,0,3,7,9,22,0,0,0,4,3,6,0,1,0,1,0,3,19,0,0,1,0,0,78,-67,0,77
"4557",4557,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",5,101,11,0,3,3,16,28,1,1,0,6,0,3,4,3,3,1,1,8,22,0,0,0,0,0,78,4,1,43
"4558",4558,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",10,12,43,0,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,6,19,0,88
"4559",4559,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",6,103,5,0,3,7,13,26,1,0,1,2,3,4,5,5,0,0,0,11,15,0,2,1,0,1,86,15,0,53
"4560",4560,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",1,123,2,0,3,7,11,27,1,1,0,6,1,6,3,1,4,0,0,6,20,0,1,0,1,1,73,-9,0,1
"4561",4561,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",8,92,11,0,3,3,12,26,1,0,0,3,2,4,4,7,1,1,0,9,15,0,0,1,0,0,78,2,0,70
"4562",4562,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",2,84,18,0,3,5,9,20,1,1,0,4,3,0,0,3,1,1,0,6,15,0,0,0,1,1,78,-60,0,18
"4563",4563,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",3,64,28,0,3,2,9,20,0,0,0,1,0,6,2,5,1,1,0,7,11,0,0,1,5,0,74,-54,0,23
"4564",4564,"Marc","Murphy","Murphy, Marc","Carlton",2016,"Outside midfielder",7,90,14,0,3,1,7,24,1,0,0,3,4,3,2,5,2,1,0,5,19,0,0,0,0,2,76,15,0,56
"4565",4565,"Marc","Pittonet","Pittonet, Marc","Hawthorn",2016,"Ruck",23,38,41,0,43,1,6,8,0,0,15,2,1,2,2,1,0,1,0,5,3,0,0,3,0,0,59,1,0,197
"4566",4566,"Marc","Pittonet","Pittonet, Marc","Hawthorn",2016,"Ruck",1,16,43,0,43,0,5,6,0,0,7,1,0,0,2,3,1,1,0,3,2,0,0,1,0,0,40,-30,0,9
"4567",4567,"Marc","Pittonet","Pittonet, Marc","Hawthorn",2016,"Ruck",12,64,31,0,43,1,6,6,0,0,11,7,0,0,5,0,2,0,0,5,1,0,0,4,0,0,69,108,0,100
"4568",4568,"Marco","Paparone","Paparone, Marco","Brisbane",2016,"General defender",8,76,18,0,22,3,4,14,0,0,0,0,7,0,0,1,1,0,0,3,8,0,0,5,0,0,91,-78,0,68
"4569",4569,"Marco","Paparone","Paparone, Marco","Brisbane",2016,"General defender",7,62,32,0,22,5,4,15,0,0,0,1,3,4,0,3,1,2,0,7,7,1,0,1,0,0,85,-77,0,63
"4570",4570,"Marco","Paparone","Paparone, Marco","Brisbane",2016,"General defender",1,38,41,0,22,2,4,9,0,0,0,1,2,1,0,1,0,1,0,2,8,0,0,3,0,1,88,-64,0,8
"4571",4571,"Marco","Paparone","Paparone, Marco","Brisbane",2016,"General defender",13,48,38,0,22,6,7,18,0,0,0,4,3,0,0,5,0,3,0,1,17,0,0,2,0,0,87,-49,0,110
"4572",4572,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",3,62,28,0,12,5,8,16,0,0,0,0,3,0,0,0,1,0,0,3,13,0,0,3,0,0,86,-61,0,19
"4573",4573,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",9,66,26,0,12,10,3,13,1,0,0,4,2,3,0,2,1,0,0,3,10,1,3,1,0,2,89,-46,0,81
"4574",4574,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",1,71,24,0,12,7,5,16,0,0,0,3,3,1,0,4,0,1,0,4,10,1,0,5,0,1,89,-61,0,3
"4575",4575,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",10,50,37,0,12,3,3,13,0,0,0,4,1,2,1,4,5,1,0,7,6,0,1,3,0,1,85,-38,0,86
"4576",4576,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",4,87,16,0,12,9,9,22,0,0,0,3,4,2,0,2,1,1,0,4,18,0,0,3,0,0,83,-30,0,29
"4577",4577,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",7,52,37,0,12,5,7,16,0,3,0,5,0,6,1,3,3,2,0,6,10,0,0,2,0,0,89,-81,0,58
"4578",4578,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",5,65,26,0,12,6,10,18,0,0,0,2,5,0,0,3,2,1,0,7,11,0,0,4,0,0,88,-69,0,45
"4579",4579,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",2,107,6,0,12,9,11,21,0,0,0,5,3,0,0,1,1,0,0,5,17,1,0,0,0,0,85,13,0,12
"4580",4580,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",8,120,3,0,12,5,10,24,0,0,0,6,5,2,0,3,2,2,0,8,14,2,0,8,0,1,87,-14,0,65
"4581",4581,"Mark","Baguley","Baguley, Mark","Essendon",2016,"General defender",11,62,28,0,12,4,6,16,0,0,0,3,2,0,0,1,3,1,0,4,12,1,0,2,0,0,87,-79,0,96
"4582",4582,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",22,90,13,1,46,3,10,17,1,0,6,3,1,1,3,2,2,1,0,7,10,0,0,3,0,0,87,60,0,188
"4583",4583,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",9,115,5,1,46,4,10,17,0,0,11,7,1,3,1,1,1,1,0,8,10,1,0,1,0,0,81,-24,0,74
"4584",4584,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",7,95,13,1,46,5,14,20,0,2,5,10,0,2,6,4,1,3,1,9,9,0,2,2,0,1,85,44,1,57
"4585",4585,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",18,79,17,1,46,5,14,21,0,0,12,4,3,1,3,4,0,2,0,12,9,1,0,3,0,0,73,30,0,149
"4586",4586,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",13,105,7,1,46,8,12,16,0,1,10,11,0,1,2,1,1,1,0,5,13,1,1,3,0,0,83,57,0,112
"4587",4587,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",23,107,7,1,46,6,18,24,0,0,7,4,3,1,2,0,0,0,0,7,18,1,0,3,0,0,86,111,0,191
"4588",4588,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",3,117,7,1,46,6,8,20,1,0,5,6,1,4,1,4,0,1,0,5,16,0,0,4,1,1,85,69,0,27
"4589",4589,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",12,82,16,1,46,8,14,23,0,1,7,3,1,3,4,2,0,0,0,8,15,2,0,2,0,0,74,31,0,103
"4590",4590,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",1,123,4,1,46,3,12,21,1,0,9,5,2,2,4,4,2,2,0,10,12,1,1,3,0,2,84,30,0,9
"4591",4591,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",20,82,18,1,46,4,14,21,0,1,7,2,1,1,2,1,1,0,0,7,14,1,1,2,0,0,70,66,0,170
"4592",4592,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",17,65,25,1,46,4,8,13,0,0,4,6,0,0,0,1,0,1,0,3,12,0,0,2,0,0,85,17,0,137
"4593",4593,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",19,97,9,1,46,4,12,17,0,0,10,8,3,1,0,3,0,0,0,8,12,0,0,5,0,1,80,25,0,154
"4594",4594,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",10,53,33,1,46,2,6,9,0,0,9,5,0,1,1,2,0,1,0,2,7,0,0,3,0,2,76,-19,0,88
"4595",4595,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",21,77,16,1,46,3,8,17,0,0,5,5,3,4,3,2,1,0,0,7,12,0,0,5,0,0,76,4,0,179
"4596",4596,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",16,83,18,1,46,1,9,15,0,0,11,4,1,0,3,3,0,2,0,11,5,1,0,4,0,0,89,-38,0,128
"4597",4597,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",5,115,5,1,46,2,13,19,0,1,7,12,1,3,3,1,3,1,0,10,9,0,0,5,0,1,82,48,0,41
"4598",4598,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",8,80,18,1,46,5,8,15,0,0,8,8,1,3,1,2,0,1,0,7,9,1,0,2,0,1,84,26,0,64
"4599",4599,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",11,80,18,1,46,1,14,18,0,0,11,4,1,0,4,3,2,1,0,11,7,0,0,1,0,0,76,10,0,94
"4600",4600,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",4,51,36,1,46,5,10,14,0,0,5,2,0,1,1,2,0,1,0,4,10,1,0,3,0,0,94,30,0,29
"4601",4601,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",6,99,11,1,46,6,8,21,0,0,7,7,1,6,5,3,2,2,0,9,13,0,0,3,0,1,84,120,0,50
"4602",4602,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",2,115,6,1,46,3,8,17,2,1,5,7,2,3,3,0,1,0,0,8,11,0,1,1,0,1,84,-13,0,16
"4603",4603,"Mark","Blicavs","Blicavs, Mark","Geelong",2016,"Defensive midfielder",14,78,18,1,46,8,8,19,1,0,5,2,0,1,1,3,2,1,0,8,12,1,2,2,0,1,75,-3,0,119
"4604",4604,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",4,76,20,0,34,2,2,9,2,0,0,6,0,2,5,3,3,3,0,5,4,0,0,0,0,1,59,68,0,28
"4605",4605,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",9,77,17,0,34,4,8,20,0,0,0,5,1,2,3,2,1,0,0,7,13,0,0,2,0,1,78,8,0,76
"4606",4606,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",15,100,11,0,34,6,7,18,3,0,0,8,2,0,1,1,0,0,2,4,14,0,1,0,0,0,82,78,1,121
"4607",4607,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",20,65,27,0,34,2,5,13,0,1,0,7,2,2,3,2,1,1,0,5,8,0,1,1,0,0,83,46,0,171
"4608",4608,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",19,104,8,0,34,2,12,21,0,0,0,8,1,4,2,2,1,0,0,12,9,0,0,0,0,1,78,-19,0,157
"4609",4609,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",12,91,11,0,34,1,10,19,1,0,0,6,3,0,5,1,0,1,0,10,9,0,0,1,0,1,78,-29,0,104
"4610",4610,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",21,81,18,0,34,5,8,18,1,0,0,6,2,6,3,1,0,1,0,5,13,1,1,1,0,1,75,1,0,175
"4611",4611,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",16,56,29,0,34,1,6,11,0,0,0,2,0,3,2,3,0,3,0,4,8,0,0,1,0,1,73,32,0,134
"4612",4612,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",7,72,21,0,34,3,12,18,0,0,0,2,1,0,5,0,2,0,0,10,7,0,0,1,0,0,71,-44,0,57
"4613",4613,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",8,96,13,0,34,4,12,21,2,0,0,2,0,2,3,2,1,1,0,9,11,1,2,1,0,0,77,103,0,72
"4614",4614,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",11,67,27,0,34,4,5,16,1,0,0,0,1,2,1,1,0,1,0,6,12,0,0,1,0,0,75,-8,0,98
"4615",4615,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",13,47,39,0,34,4,5,13,0,1,0,7,0,1,2,4,1,2,0,5,8,0,1,1,0,0,80,49,0,110
"4616",4616,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",22,47,38,0,34,2,5,10,0,0,0,4,1,1,2,1,0,1,0,5,5,0,1,0,0,0,86,25,0,181
"4617",4617,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",23,72,25,0,34,0,6,17,1,1,0,6,0,3,3,4,0,3,0,8,10,0,0,2,0,0,79,29,0,190
"4618",4618,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",17,41,39,0,34,1,4,12,0,0,0,3,0,2,3,3,2,1,0,7,5,0,0,1,0,0,83,7,0,142
"4619",4619,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",10,42,43,0,34,1,3,8,1,0,0,4,0,1,1,1,1,0,0,3,5,0,0,0,0,0,77,77,0,90
"4620",4620,"Mark","Hutchings","Hutchings, Mark","West Coast",2016,"Defensive midfielder",6,74,20,0,34,2,8,19,1,0,0,5,0,3,3,1,1,1,0,8,12,0,0,0,0,0,74,62,0,54
"4621",4621,"Mark","Jamar","Jamar, Mark","Essendon",2016,"Ruck",15,33,44,0,53,4,2,4,0,0,9,1,0,0,0,1,0,1,0,2,3,1,0,1,0,0,43,-78,0,121
"4622",4622,"Mark","Jamar","Jamar, Mark","Essendon",2016,"Ruck",12,44,40,0,53,5,5,9,0,2,12,0,0,1,2,4,1,2,0,4,5,2,2,3,0,0,71,-108,0,100
"4623",4623,"Mark","Jamar","Jamar, Mark","Essendon",2016,"Ruck",10,60,32,0,53,3,5,7,1,0,19,2,0,1,1,1,2,1,0,5,3,2,0,4,0,0,80,-38,0,86
"4624",4624,"Mark","Jamar","Jamar, Mark","Essendon",2016,"Ruck",22,51,34,0,53,3,5,8,0,0,17,2,0,0,2,3,1,3,0,4,4,1,0,2,0,0,79,-40,0,189
"4625",4625,"Mark","Jamar","Jamar, Mark","Essendon",2016,"Ruck",13,92,11,0,53,6,6,12,2,1,14,0,0,2,1,1,1,1,0,8,4,5,1,2,0,0,78,-27,0,114
"4626",4626,"Mark","Whiley","Whiley, Mark","Carlton",2016,"Defensive midfielder",3,54,34,0,24,2,8,16,0,0,1,1,0,1,1,1,1,0,0,5,10,0,0,0,0,0,66,-54,0,23
"4627",4627,"Marley","Williams","Williams, Marley","Collingwood",2016,"General defender",19,69,25,0,26,4,15,22,0,0,0,3,4,1,1,1,0,0,0,4,17,0,0,1,1,0,67,19,0,157
"4628",4628,"Marley","Williams","Williams, Marley","Collingwood",2016,"General defender",3,18,44,0,26,3,1,3,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,0,0,37,-29,0,20
"4629",4629,"Marley","Williams","Williams, Marley","Collingwood",2016,"General defender",23,48,37,0,26,6,6,16,0,0,0,1,3,3,2,5,1,0,0,5,12,0,0,0,0,0,72,-1,0,197
"4630",4630,"Marley","Williams","Williams, Marley","Collingwood",2016,"General defender",12,45,39,0,26,0,12,19,0,0,0,2,2,1,0,2,0,0,0,6,12,0,0,0,0,0,77,-46,0,108
"4631",4631,"Marley","Williams","Williams, Marley","Collingwood",2016,"General defender",15,45,40,0,26,2,2,7,0,0,0,2,2,1,0,0,0,0,0,0,6,0,0,3,0,0,82,12,0,125
